date,bludo_name,location_name,selection1_ingri_name
1920,Выпечка и десерты,Американская кухня,"Темный шоколад, Сливочное масло,Коричневый сахар, Куриное яйцо, Пшеничная мука, Грецкие орехи"
1840,Завтраки,Русская кухня,"Творог, Куриное яйцо, Пшеничная мука, Сахар, Подсолнечное масло"
1856,Паста и пицца,Итальянская кухня,"Спагетти, Сливочное масло, Чеснок, Красный лук, Бекон, Сливки 20%-ные, Тертый сыр пармезан, Куриное яйцо, Соль, Молотый черный перец"
1876,Выпечка и десерты,Русская кухня,"Сахар, Куриное яйцо, Пшеничная мука, Яблоко, Растительное масло, Разрыхлитель"
1856,Паста и пицца,Итальянская кухня,"Мясной фарш, Твердый сыр, Соус болоньезе, Сливочное масло, Пшеничная мука, Оливковое масло, Молоко, Готовые сухие листы лазаньи"
1914,Выпечка и десерты,Русская кухня,"Пшеничная мука, Сахар, Куриное яйцо, Молоко, Соль, Растительное масло"
1834,Выпечка и десерты,Американская кухня,"Пшеничная мука, Сливочное масло, Куриное яйцо, Тыква, Сахар, Сливки 30%-ные, Корица, Ванилин, Соль"
1875,Основные блюда,Татарская кухня,"Говядина, Репчатый лук, Соленые огурцы, Томатная паста, Картофель, Мясной бульон, Чеснок"
1874,Салаты,Итальянская кухня,"Молотый черный перец, Консервированная фасоль, Соль, Лимон, Чеснок, Оливковое масло, Рукола, Творожный сыр, Творожный сыр"
1863,Выпечка и десерты,Французская кухня,"Сахар, Куриное яйцо, Сливочное масло, Сметана, Пшеничная мука, Какао-порошок, Гашеная сода"
1910,Выпечка и десерты,Британская кухня,"Творог, Сметана, Куриное яйцо, Сливочное масло, Пшеничная мука, Сахар, Соль, Сода"
1908,Завтраки,Японская кухня,"Репчатый лук, Куриное филе, Рис, Куриное яйцо, Соевый соус, Сахар, Зеленый лук"
1903,Выпечка и десерты,Французская кухня,"Сливочное масло, Пшеничная мука, Разрыхлитель, Соль, Сахар, Голубика, Куриное яйцо, Ванильный экстракт, Молоко, Мускатный орех"
1879,Закуски,Итальянская кухня,"Белый хлеб, Помидоры, Оливковое масло, Чеснок, Бальзамический крем, Свежемолотый черный перец, Соль, Зелень"
1897,Основные блюда,Американская кухня,"Молодой картофель, Оливковое масло, Укроп, Петрушка, Чеснок, TABASCO, Соль"
1895,Завтраки,Американская кухня,"Пшеничная мука, Молоко, Сахар, Куриное яйцо, Соль, Гашеная сода, Молотая корица"
1903,Основные блюда,Французская кухня,"Баклажаны, Желтый сладкий перец, Красный сладкий перец, Репчатый лук, Чеснок, Помидоры, Сахар, Оливковое масло, Томатная паста, Петрушка, Соль, Молотый черный перец"
1888,Супы,Французская кухня,"Молотый черный перец, Соль, Очищенные семена тыквы, Сахар, Петрушка, Сливки, Бренди, Сливочное масло, Чеснок, Красный лук, Тыква,Куриный бульон"
1878,Выпечка и десерты,Русская кухня,"Белокочанная капуста, Оливковое масло, Куриное яйцо, Сливочное масло, Молоко, Крупная соль, Пшеничная мука, Сахар, Свежие дрожжи"
1900,Выпечка и десерты,Европейская кухня,"Яблоко, Пшеничная мука, Сметана, Сливочное масло, Уксус, Сахар, Сода, Куриное яйцо"
1899,Паста и пицца,Итальянская кухня,"Спагетти, Чеснок, Перец чили, Петрушка, Оливковое масло, Лимон, Соль, Молотый черный перец"
1881,Супы,Грузинская кухня,"Говядина, Репчатый лук, Рис, Помидоры, Укроп, Петрушка, Специи, Чеснок, Кинза"
1864,Выпечка и десерты,Американская кухня,"Морковь, Пшеничная мука, Пекарский порошок, Молотая корица, Сода, Мускатный орех, Молотый имбирь, Растительное масло, Коричневый мягкий сахар, Куриное яйцо, Ванильный экстракт, Соль"
1904,Выпечка и десерты,Русская кухня,"Кефир, Сахар, Соль, Пшеничная мука, Сода, Растительное масло, Сливочное масло, Сметана, Варенье"
1874,Завтраки,Американская кухня,"Пшеничная мука, Молоко, Куриное яйцо, Сливочное масло, Сахар, Соль, Разрыхлитель, Сода, Бананы"
1865,Выпечка и десерты,Русская кухня,"Мед, Сливочное масло, Куриное яйцо, Сахар, Пшеничная мука, Сода, Сметана 20%-ная, Сахарная пудра"
1894,Основные блюда,Французская кухня,"Картофель, Молоко, Сливки 33%-ные, Мускатный орех, Сыр грюйер, Чеснок, Соль, Молотый черный перец"
1876,Выпечка и десерты,Русская кухня,"Пшеничная мука, Сметана, Сахар, Сливочное масло, Ванилин, Сода, Куриное яйцо"
1856,Выпечка и десерты,Французская кухня,"Творог, Куриное яйцо, Пшеничная мука, Сахар, Соль, Оливковое масло, Сода, Сахарная пудра с ванилью"
1890,Завтраки,Русская кухня,"Куриное яйцо, Мягкий творог, Пшеничная мука, Сахар, Соль"